run,baseline_acc,train_acc,val_acc,test_acc,test_f1,test_auroc,n_folds,feature_dim,probe,split,geom,scaler,clip,kbest,balance
30_mlp_layer14_robust,0.7010197364165158,0.8953828281195619,0.6974924071964441,0.7213102003322762,0.829100905225,0.684552284265479,5,896,mlp,groupkfold,0,robust,5,0,1
31_concat_lastlayers_kbest_logregcv,0.7010197364165158,0.7083649052292766,0.7395993770145722,0.688060126319763,0.7842388210209668,0.6971814121675827,5,4480,logreg_cv,groupkfold,0,robust,5,200,0
32_bag_layer14_robust,0.7010197364165158,0.906231682563508,0.7237912260418801,0.7127927109280522,0.7980181252128749,0.6744144156279559,5,896,bag,groupkfold,0,robust,5,0,0
33_mlp_ens21_layer14_robust,0.7010197364165158,0.8941504526720552,0.7115299527274053,0.7227281963702284,0.8267375165226435,0.68224156459164,5,896,mlp,groupkfold,0,robust,5,0,1
34_mlp_ens11_layer14-20_robust,0.7010197364165158,0.8304238807365281,0.7020481792787635,0.7125726901817169,0.8234854484537815,0.6775450656752517,5,1792,mlp,groupkfold,0,robust,5,0,1
35_mlp_ens11_layer14-24_robust,0.7010197364165158,0.9393621232568602,0.7254891078742534,0.718369639420168,0.818463770710925,0.6956344217344972,5,1792,mlp,groupkfold,0,robust,5,0,1
36_mlp_reg_ens11_layer14_robust,0.7010197364165158,0.755909484799075,0.7443175966398725,0.7126565583458336,0.8214809018693547,0.689572931259504,5,896,mlp_reg,groupkfold,0,robust,5,0,1
37_mlp_wider_layer14_robust,0.7010197364165158,0.8911230660368454,0.6928355776309914,0.7212997738908207,0.8293831167179393,0.6853985939988265,5,896,mlp,groupkfold,0,robust,5,0,1
38_mlp_ens11_layer14_robust_acc,0.7010197364165158,0.9393621232568602,0.7162651726769709,0.7314977468992753,0.8298048933610639,0.6833302650957289,5,896,mlp,groupkfold,0,robust,5,0,1
39_logregcv_layer14_kfold10,0.7010315430520034,0.7790582743608236,0.7732460420205871,0.6967263427109975,0.7993535282305697,0.6919291585681892,10,896,logreg_cv,groupkfold,0,robust,5,0,0
40_mlp_ens11_layer14-20-24_robust,0.7010197364165158,0.9038587377534746,0.7160913915844798,0.7227915160730825,0.8251600357965246,0.6891494396350444,5,2688,mlp,groupkfold,0,robust,5,0,1
41_mlp_ens11_layer14_mixup,0.7010197364165158,0.8950391892045196,0.7068257160527994,0.6867152675828236,0.7892091844138637,0.6484073601781672,5,896,mlp,groupkfold,0,robust,5,0,1
42_mlp_ens11_layer14_labelsmooth,0.7010197364165158,0.8317955604664167,0.6996498742740569,0.7111546941437646,0.8200704518311219,0.6513010824143588,5,896,mlp,groupkfold,0,robust,5,0,1
43_mlp_ens11_layer14_swa,0.7010197364165158,0.9350830689778059,0.7209163354676685,0.7243140809472385,0.8237056257946225,0.6854558802399511,5,896,mlp,groupkfold,0,robust,5,0,1
44_mlp_ens11_layer14_mixup_smooth,0.7010197364165158,0.893317074076643,0.6975961140807618,0.7024484633175719,0.8149054077449852,0.6349769358334231,5,896,mlp,groupkfold,0,robust,5,0,1
45_conv1d_layers_robust,0.7010197364165158,0.9376527215474585,0.7326396331527911,0.7156596779066751,0.8148430599758454,0.6841791566387682,5,22400,conv1d_layers,groupkfold,?,robust,5,0,1
46_traj_scalars_logregcv,0.7010197364165158,0.8020665808339373,0.7347971002304039,0.7126777156503931,0.8057283836569304,0.7158157919944441,5,911,logreg_cv,groupkfold,0,robust,5,0,0
47_se_gated_layer14,0.7010197364165158,0.9311687840290382,0.730218661049064,0.685182124056388,0.7826001993537444,0.6896369152388135,5,896,se_linear,groupkfold,0,robust,5,0,1
48_extratrees_layer14,0.7010197364165158,0.9397894736842105,0.7651193823035619,0.7140951028450486,0.8082222158639109,0.7240726064753285,5,896,extratrees,groupkfold,0,robust,5,0,0
49_knn_layer14,0.7010197364165158,0.9397894736842105,0.7672154593213273,0.6837328486940693,0.7827688608859523,0.712069848054887,5,896,knn,groupkfold,0,robust,5,0,0
50_stacking_layer14,0.7010197364165158,0.9397894736842105,0.7325499092191678,0.7156283985823084,0.8043809257824316,0.7254875504388328,5,896,stacking,groupkfold,0,robust,5,0,0
